user_sequence,challenge
4577_11,CI23848
4577_12,CI26051
4577_13,CI25124
4578_11,CI23648
4578_12,CI25141
4578_13,CI23667
4579_11,CI26950
4579_12,CI26958
4579_13,CI26945
4583_11,CI23691
4583_12,CI24532
4583_13,CI23648
4584_11,CI23663
4584_12,CI23856
4584_13,CI24867
4586_11,CI23691
4586_12,CI24867
4586_13,CI26051
4588_11,CI23648
4588_12,CI24138
4588_13,CI25126
4589_11,CI26213
4589_12,CI26167
4589_13,CI26168
4594_11,CI24530
4594_12,CI24953
4594_13,CI23648
4595_11,CI26173
4595_12,CI26166
4595_13,CI26168
4597_11,CI26213
4597_12,CI26168
4597_13,CI26167
4598_11,CI23691
4598_12,CI24530
4598_13,CI24958
4599_11,CI23691
4599_12,CI24867
4599_13,CI26051
4600_11,CI23691
4600_12,CI24532
4600_13,CI23922
4601_11,CI26166
4601_12,CI26213
4601_13,CI26173
4603_11,CI24954
4603_12,CI26051
4603_13,CI24953
4605_11,CI26950
4605_12,CI26955
4605_13,CI26958
4607_11,CI23648
4607_12,CI23691
4607_13,CI23922
4608_11,CI23663
4608_12,CI24187
4608_13,CI23856
4610_11,CI23648
4610_12,CI25141
4610_13,CI23848
4613_11,CI26941
4613_12,CI26942
4613_13,CI26944
4614_11,CI23856
4614_12,CI24187
4614_13,CI24530
4620_11,CI24917
4620_12,CI23856
4620_13,CI23975
4621_11,CI23648
4621_12,CI24187
4621_13,CI24522
4623_11,CI26955
4623_12,CI26950
4623_13,CI26954
4627_11,CI23691
4627_12,CI23663
4627_13,CI24527
4628_11,CI23975
4628_12,CI23836
4628_13,CI23648
4633_11,CI23922
4633_12,CI23648
4633_13,CI24532
4634_11,CI24530
4634_12,CI24876
4634_13,CI23691
4636_11,CI26173
4636_12,CI26169
4636_13,CI26166
4640_11,CI26173
4640_12,CI26169
4640_13,CI26174
4649_11,CI24866
4649_12,CI23848
4649_13,CI25135
4650_11,CI26173
4650_12,CI26210
4650_13,CI26171
4651_11,CI28581
4651_12,CI28580
4651_13,CI28578
4655_11,CI23648
4655_12,CI24530
4655_13,CI26051
4656_11,CI23663
4656_12,CI23848
4656_13,CI24187
4657_11,CI24958
4657_12,CI25125
4657_13,CI24530
4659_11,CI26051
4659_12,CI24187
4659_13,CI24530
4665_11,CI26173
4665_12,CI26171
4665_13,CI26169
4666_11,CI26958
4666_12,CI26955
4666_13,CI26951
4667_11,CI25141
4667_12,CI24953
4667_13,CI24871
4668_11,CI26173
4668_12,CI26169
4668_13,CI26221
4671_11,CI26173
4671_12,CI26211
4671_13,CI26210
4674_11,CI23975
4674_12,CI24187
4674_13,CI23648
4676_11,CI23663
4676_12,CI23648
4676_13,CI24968
4682_11,CI24532
4682_12,CI25075
4682_13,CI24876
4685_11,CI26164
4685_12,CI26163
4685_13,CI26168
4686_11,CI23663
4686_12,CI23975
4686_13,CI23648
4690_11,CI26210
4690_12,CI26211
4690_13,CI26209
4697_11,CI26210
4697_12,CI26173
4697_13,CI26171
4699_11,CI24871
4699_12,CI26051
4699_13,CI25056
4702_11,CI28578
4702_12,CI28580
4702_13,CI28585
4705_11,CI26173
4705_12,CI26210
4705_13,CI26213
4707_11,CI24187
4707_12,CI23836
4707_13,CI23975
4708_11,CI26950
4708_12,CI26951
4708_13,CI26955
4712_11,CI26173
4712_12,CI26171
4712_13,CI26169
4714_11,CI23663
4714_12,CI26051
4714_13,CI24931
4715_11,CI26171
4715_12,CI26210
4715_13,CI26173
4716_11,CI23648
4716_12,CI23663
4716_13,CI23975
4723_11,CI26210
4723_12,CI26173
4723_13,CI26211
4724_11,CI26210
4724_12,CI26173
4724_13,CI26211
4726_11,CI25126
4726_12,CI24228
4726_13,CI23836
4730_11,CI27669
4730_12,CI27665
4730_13,CI27664
4731_11,CI23663
4731_12,CI23691
4731_13,CI24187
4733_11,CI26210
4733_12,CI26173
4733_13,CI26171
4735_11,CI26173
4735_12,CI26171
4735_13,CI26210
4737_11,CI26211
4737_12,CI26209
4737_13,CI26173
4738_11,CI24527
4738_12,CI24530
4738_13,CI25124
4739_11,CI26173
4739_12,CI26169
4739_13,CI26171
4740_11,CI26211
4740_12,CI26209
4740_13,CI26213
4742_11,CI26210
4742_12,CI26211
4742_13,CI26209
4746_11,CI26173
4746_12,CI26210
4746_13,CI26213
4747_11,CI23975
4747_12,CI24953
4747_13,CI23663
4749_11,CI23663
4749_12,CI25141
4749_13,CI24953
4751_11,CI24187
4751_12,CI23880
4751_13,CI24530
4753_11,CI26211
4753_12,CI26209
4753_13,CI26210
4755_11,CI23663
4755_12,CI24187
4755_13,CI23691
4758_11,CI24187
4758_12,CI23648
4758_13,CI24522
4761_11,CI24867
4761_12,CI23648
4761_13,CI24187
4762_11,CI23663
4762_12,CI23648
4762_13,CI23848
4767_11,CI23714
4767_12,CI24187
4767_13,CI24525
4770_11,CI23648
4770_12,CI24534
4770_13,CI23769
4773_11,CI24953
4773_12,CI25057
4773_13,CI25141
4774_11,CI26211
4774_12,CI26210
4774_13,CI26209
4778_11,CI26210
4778_12,CI26211
4778_13,CI26173
4780_11,CI24530
4780_12,CI24534
4780_13,CI23975
4782_11,CI26955
4782_12,CI26953
4782_13,CI26952
4783_11,CI26210
4783_12,CI26211
4783_13,CI26209
4784_11,CI24957
4784_12,CI23648
4784_13,CI23714
4786_11,CI26173
4786_12,CI26169
4786_13,CI26171
4790_11,CI25126
4790_12,CI25141
4790_13,CI25727
4791_11,CI26952
4791_12,CI26958
4791_13,CI26955
4794_11,CI24871
4794_12,CI23691
4794_13,CI23856
4796_11,CI24522
4796_12,CI24523
4796_13,CI24532
4803_11,CI23691
4803_12,CI23648
4803_13,CI24003
4805_11,CI26958
4805_12,CI26955
4805_13,CI26950
4807_11,CI24867
4807_12,CI24953
4807_13,CI23848
4808_11,CI26952
4808_12,CI26958
4808_13,CI26951
4814_11,CI25633
4814_12,CI26050
4814_13,CI25125
4817_11,CI26173
4817_12,CI26210
4817_13,CI26213
4821_11,CI23691
4821_12,CI24534
4821_13,CI24532
4822_11,CI28580
4822_12,CI28579
4822_13,CI28584
4825_11,CI24530
4825_12,CI24867
4825_13,CI25125
4827_11,CI26958
4827_12,CI26957
